date,category,amount,note
2025-01-03,Food,150,Breakfast at cafe
2025-01-04,Transport,40,Bus ticket
2025-01-05,Groceries,760,Weekly vegetables
2025-01-06,Shopping,1200,Clothing items
2025-01-08,Entertainment,300,Movie with friends
2025-01-09,Food,220,Lunch at restaurant
2025-01-12,Health,450,Medicines
2025-01-14,Bills,980,Electricity bill
2025-01-15,Transport,90,Auto fare
2025-01-16,Groceries,1450,Monthly essentials
2025-01-18,Shopping,650,Beauty products
2025-01-20,Travel,600,Train ticket
2025-01-22,Food,180,Snacks and juice
2025-01-25,Entertainment,1100,Concert ticket
2025-01-28,Bills,300,Water bill
2025-02-01,Food,200,Dinner at cafe
2025-02-03,Transport,500,Fuel
2025-02-05,Shopping,1800,Shoes purchase
2025-02-08,Entertainment,850,Theme park entry
2025-02-10,Health,300,First aid items
